label,speaker,language,dim1,dim2,dim3
VF19B_can,VF19B,can,-0.006165870458533168,-0.3332961793519865,-0.46018388583680186
VF19B_eng,VF19B,eng,0.06779063957103602,-0.12026990983110375,-0.49979944806883914
VF19D_can,VF19D,can,0.4100572446657504,0.4882336965160718,-0.009676656294488502
VF19D_eng,VF19D,eng,0.47851076949088783,0.4662174904369172,0.04173735320399441
VF21A_can,VF21A,can,0.10051481381311751,0.31085405532815913,0.4552103322566261
VF21A_eng,VF21A,eng,0.04383789283430028,0.03075894559123029,0.494842794502136
VF21B_can,VF21B,can,-0.20993871641407444,-0.5487261160263109,-0.09973657017749293
VF21B_eng,VF21B,eng,-0.1900122562574146,-0.5590634623226116,-0.12781054448999257
VF21C_can,VF21C,can,-0.6342286886497719,-0.14046792213021358,-0.19302505696318545
VF21C_eng,VF21C,eng,-0.6425132758010819,-0.09100381654428946,-0.22269526821007224
VF21D_can,VF21D,can,-0.494988134709822,-0.3362245237561143,0.2581677405369498
VF21D_eng,VF21D,eng,-0.3979844628195943,-0.3282792808443037,0.34320756300568583
VF23B_can,VF23B,can,0.7489402465725884,-0.08660881597980388,-0.12432187853232855
VF23B_eng,VF23B,eng,0.6873247363071674,-0.22954824669079002,-0.014355158203534935
VF23C_can,VF23C,can,0.40607159921522096,-0.3544707955517466,0.3191345259464234
VF23C_eng,VF23C,eng,0.5747063455979592,-0.3832410173989821,0.23352322751483173
VF26A_can,VF26A,can,-0.44173887980291543,0.549092691556467,0.11060958845069113
VF26A_eng,VF26A,eng,-0.4877347041159691,0.5421941467570558,0.11890016267863684
VF32A_can,VF32A,can,0.001088688933148054,0.5779723433098243,-0.2949976850682021
VF32A_eng,VF32A,eng,-0.013537987971982022,0.5458767169325801,-0.32873113625098355
