label,speaker,language,x,y
VF19B_can,VF19B,can,3.5597463971135506,0.9301867601806597
VF19B_eng,VF19B,eng,1.9852850967488689,1.3580826891671953
VF19D_can,VF19D,can,-1.6861280122148372,1.9378955129554094
VF19D_eng,VF19D,eng,-2.8560616994535937,1.89545973017186
VF21A_can,VF21A,can,-0.45642217138886165,0.9916548746706166
VF21A_eng,VF21A,eng,-0.6355982351195365,-1.7422583121293833
VF21B_can,VF21B,can,3.1898311435675795,-1.2257980480386053
VF21B_eng,VF21B,eng,2.5821719936543506,-1.194606692019813
VF21C_can,VF21C,can,2.074838012183032,-0.44950839709579943
VF21C_eng,VF21C,eng,1.2617841780310535,-0.14200818186640177
VF21D_can,VF21D,can,1.7614013969040823,-2.9086037202028536
VF21D_eng,VF21D,eng,1.3930148025606917,-2.9546628727559394
VF23B_can,VF23B,can,-4.380880956702355,-2.108505566007851
VF23B_eng,VF23B,eng,-3.7640442948437802,-2.811625397742026
VF23C_can,VF23C,can,-1.1812642261663293,-2.5414405481376043
VF23C_eng,VF23C,eng,-2.42339885633375,-3.8873685906730326
VF26A_can,VF26A,can,1.0904917842714406,3.896714553685689
VF26A_eng,VF26A,eng,1.6245188351091173,4.288252769685992
VF32A_can,VF32A,can,-1.1583914044984016,3.6943138670277573
VF32A_eng,VF32A,eng,-1.9808937834223213,2.9738255691241275
