label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Can,VF19B,Can,-0.4056333814369834,-0.1500468506265871,0.16704164296390273,-0.14001810638490444,-0.11889257855236714,-0.3478170510290197
VF19B_Eng,VF19B,Eng,-0.324347803167976,-0.2120715896485249,0.17730393467971378,-0.1376815059716766,-0.12821642323204932,-0.33865254777690773
VF19D_Can,VF19D,Can,0.3615788268991398,-0.4678059495486719,-0.16169132071961986,0.11555433693672093,-0.07571004883313777,0.2607814209725313
VF19D_Eng,VF19D,Eng,0.36661182324082986,-0.37008703755369277,-0.18557869446093828,0.14482019375170666,-0.051637093699514476,0.31729100839165797
VF21A_Can,VF21A,Can,0.2778988507075883,-0.278056945391589,-0.17671398041324768,0.27408638158202603,0.09874571470072308,-0.2843900662762545
VF21A_Eng,VF21A,Eng,0.22217766932622773,-0.10871186455256988,-0.19597431131956464,0.30378362871787207,0.1042999420595009,-0.3136494902346149
VF21B_Can,VF21B,Can,-0.4941008729455849,-0.09281419816163894,-0.3823275133367746,-0.15958534872506785,-0.016614764373768885,-0.0015804058033387393
VF21B_Eng,VF21B,Eng,-0.48184167138470607,-0.03538809629827672,-0.38982293666079887,-0.16728928847658353,0.03172737687999216,0.019604080345384384
VF21C_Can,VF21C,Can,-0.37436046877717255,-0.011086935341403618,0.08850411593757496,-0.12521647866044525,0.38153445795899027,0.15729012571986253
VF21C_Eng,VF21C,Eng,-0.3489886993431375,-0.05841020831174319,0.07238108108554464,-0.07064321682680529,0.42092396894150197,0.14829811378984217
VF21D_Can,VF21D,Can,-0.5311651409126118,-0.02564481789157409,0.10154870563960758,0.33778101838166696,-0.11470620608692857,0.13574699971668375
VF21D_Eng,VF21D,Eng,-0.52352371366891,0.03663874669843012,0.09904287485297972,0.3525645595989462,-0.11127032023582488,0.1211062130122259
VF23B_Can,VF23B,Can,0.105601186998242,0.4099320700512787,-0.02650291160131185,-0.08212123651317957,-0.44318728574033994,0.07105447710919914
VF23B_Eng,VF23B,Eng,0.15710114166914066,0.5210469185839431,-0.04878810781374066,-0.052465132249560176,-0.4050774183098617,0.04449324636885969
VF23C_Can,VF23C,Can,0.2079428233841052,0.7573347171968414,-0.08706465246056992,0.010742256801289402,0.16638722153162078,-0.06783920497916861
VF23C_Eng,VF23C,Eng,0.22790948750700196,0.7958817453758757,-0.11167640667382868,0.007253486267823957,0.14114634198675358,-0.04437031006224707
VF26A_Can,VF26A,Can,0.3489441601903337,-0.019684296722852705,0.47829330401941444,0.10374280203810493,0.048838805185437054,0.025886086774011927
VF26A_Eng,VF26A,Eng,0.3638726938613289,-0.029073294496022497,0.49322483172970344,0.10804921500955693,0.05822269945647999,0.02526481157036183
VF32A_Can,VF32A,Can,0.430849452288617,-0.35057776906097,0.06474699655846693,-0.4048555614718944,0.006285975708068886,0.028790687972121115
VF32A_Eng,VF32A,Eng,0.4134736355643677,-0.3113743443003309,0.02405334799346754,-0.418502003805586,0.007199634654756727,0.0426918044187797
